user_id,user_name,wallet_id,odometer_km,battery_percentage,photo_timestamp,vehicle_type,vehicle_number
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10500,85,2025-05-01,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10535,80,2025-05-09,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10580,75,2025-05-13,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10610,70,2025-05-22,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10650,65,2025-05-29,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10738,60,2025-06-07,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10759,55,2025-06-12,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10780,50,2025-06-21,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10820,45,2025-06-26,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10866,40,2025-07-01,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10901,38,2025-07-17,Bike,GJ04QN1054
user_001,Arjun Patel,0xA1B2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B1,10940,35,2025-07-25,Bike,GJ04QN1054
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5000,90,2025-05-03,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5050,85,2025-05-05,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5112,80,2025-05-17,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5145,75,2025-05-22,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5200,70,2025-05-29,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5225,65,2025-06-03,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5258,60,2025-06-17,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5290,55,2025-06-24,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5310,50,2025-06-28,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5364,45,2025-07-05,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5375,43,2025-07-11,4-wheeler,MH12AB1234
user_002,Meera Singh,0xB2C3D4E5F6A7B8C9D0E1F2A3B4C5D6E7F8A9B2C3,5397,40,2025-07-23,4-wheeler,MH12AB1234
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2000,95,2025-06-05,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2020,90,2025-06-12,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2037,85,2025-06-19,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2064,80,2025-06-21,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2071,75,2025-06-26,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2096,70,2025-07-06,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2113,65,2025-07-16,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2137,60,2025-07-23,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2156,55,2025-07-25,Moped,
user_003,Raushan Sharma,0xC1D2E3F4A5B6C7D8E9F0A1B2C3D4E5F6A7B8C9D0,2180,53,2025-07-30,Moped,
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8000,80,2025-05-11,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8017,75,2025-05-14,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8039,70,2025-05-25,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8050,65,2025-05-26,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8072,60,2025-06-27,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8092,55,2025-07-05,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8120,50,2025-07-09,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8141,45,2025-07-16,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8153,40,2025-07-21,3-wheeler,DL8CAF0001
user_004,Rajesh Kumar,0xD1E2F3A4B5C6D7E8F9A0B1C2D3E4F5A6B7C8D9E0,8172,38,2025-07-22,3-wheeler,DL8CAF0001
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3006,85,2025-06-01,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3020,80,2025-06-03,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3042,75,2025-06-11,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3060,70,2025-06-13,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3084,65,2025-06-17,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3099,60,2025-06-20,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3111,55,2025-06-21,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3123,50,2025-07-09,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3136,45,2025-07-13,Bike,
user_005,Jack Yu,0xA3B7C9D2E4F8A1B2C3D4E5F60718293A4BC5DE6F,3953,43,2025-07-15,Bike,
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4013,90,2025-05-11,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4022,85,2025-05-18,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4039,80,2025-05-19,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4053,75,2025-06-04,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4084,70,2025-06-09,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4091,65,2025-06-15,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4105,60,2025-06-22,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4126,55,2025-06-23,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4144,50,2025-07-06,4-wheeler,KA03MN4321
user_006,Himanshu R,0x9F8E7D6C5B4A39102837465C7D8E9FAB1C2D3E4F,4177,48,2025-07-20,4-wheeler,KA03MN4321
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6025,95,2025-06-03,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6049,90,2025-06-07,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6080,85,2025-06-11,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6112,80,2025-06-14,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6136,75,2025-06-20,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6156,70,2025-06-23,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6188,65,2025-06-29,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6205,60,2025-07-01,3-wheeler,UP16BT6789
user_007,Sheetal Gupta,0xFFEEDDCCBBAA99887766554433221100AABBCCDD,6226,58,2025-07-16,3-wheeler,UP16BT6789
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1500,80,2025-05-15,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1513,75,2025-05-19,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1527,70,2025-05-29,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1550,65,2025-06-06,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1572,60,2025-06-17,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1592,55,2025-06-19,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1610,50,2025-06-23,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1623,45,2025-07-09,Moped,
user_008,Ali Husain, 0xC0FFEE1234BEEF5678DEAD90FACEB00C1234ABCD,1639,43,2025-07-18,Moped,
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2505,85,2025-05-17,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2523,80,2025-05-28,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2546,75,2025-05-31,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2569,70,2025-06-02,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2577,65,2025-06-14,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2584,60,2025-06-19,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2597,55,2025-06-25,Bike,WB20CD2345
user_009,Sidhant Mehra, 0x0A1B2C3D4E5F60718293A4BC5DE6F7A8B9C0D1E2,2601,53,2025-07-09,Bike,WB20CD2345
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3512,90,2025-06-12,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3539,85,2025-06-26,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3561,80,2025-06-28,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3592,75,2025-06-29,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3622,70,2025-06-30,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3641,65,2025-07-03,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3666,60,2025-07-12,4-wheeler,TS09GH8765
user_010,Teena S,0xDEADBEEFCAFEBABE1234567890ABCDEF12345678,3684,58,2025-07-23,4-wheeler,TS09GH8765
